dataset,model,model_key,method,metric,real,mean_sim,std_sim,ci_low,ci_high,p_value,reject,n_sims
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,gcc,0.3208356459697971,0.0331011778631776,0.0002213950956519,0.0327275837675876,0.0335219058705871,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,alcc,0.4466932007590472,0.033095493238127,0.0002230487926212,0.0326888456159403,0.0334984983423397,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,k4_count,9608852.0,445.98,26.081062443501377,403.425,498.0,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,k4_density,2.82372517268864e-05,1.3105883538592118e-09,7.664365373946766e-11,1.1855332226908212e-09,1.4634580030985415e-09,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,C3_global,0.2465664397327217,0.0010937253831974,5.586275082677363e-05,0.0010023059672631,0.0011870097514307,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,C3_avg_local,0.1221576646808128,0.0003503269377331,1.819335045846497e-05,0.0003195522532556,0.0003834340438759,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,LOCLBDG,gcc,0.3208356459697971,0.4258524073693598,0.0973433145157586,0.2599709087359241,0.628745381556098,0.3564356435643564,False,100
bio-CE-PG,Erdős–Rényi,ER,LOCLBDG,alcc,0.4466932007590472,0.2624284898216166,0.0604198996238075,0.1493278367914168,0.3775048016879976,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,LOCLBDG,k4_count,9608852.0,17557578.53,14659270.251129275,862133.4,53776960.04999994,0.7524752475247525,False,100
bio-CE-PG,Erdős–Rényi,ER,LOCLBDG,k4_density,2.82372517268864e-05,8.726732220448746e-05,6.828877349425616e-05,5.276151282616168e-06,0.0002587684935274,0.4356435643564356,False,100
bio-CE-PG,Erdős–Rényi,ER,LOCLBDG,C3_global,0.2465664397327217,0.4108573281047789,0.1465363179743648,0.1603605228898823,0.7050807913757156,0.2574257425742574,False,100
bio-CE-PG,Erdős–Rényi,ER,LOCLBDG,C3_avg_local,0.1221576646808128,0.0660962789496201,0.0216854826840795,0.0300558809941275,0.1063714945457234,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,PARABDG,gcc,0.3208356459697971,0.5107856570033459,0.0413882863792776,0.4525215106442992,0.6101355438825281,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,PARABDG,alcc,0.4466932007590472,0.752067815060477,0.038179345206815,0.6936783294963501,0.8388047686094072,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,PARABDG,k4_count,9608852.0,8683865.24,1655321.1585071634,5184636.575,11512961.049999995,0.6138613861386139,False,100
bio-CE-PG,Erdős–Rényi,ER,PARABDG,k4_density,2.82372517268864e-05,0.0001191900969987,2.9741915333660652e-05,8.663098773976935e-05,0.0002050294768835,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,PARABDG,C3_global,0.2465664397327217,0.469571893208696,0.0490645988604616,0.3981016947644816,0.5863092617936887,0.0198019801980198,True,100
bio-CE-PG,Erdős–Rényi,ER,PARABDG,C3_avg_local,0.1221576646808128,0.2450286036422467,0.014281208359357,0.2226154774839924,0.276985843045178,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,EDGEIND,gcc,0.3208356459697971,0.2234868447462109,0.0014091155211512,0.2210101671914485,0.2264047110734174,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,EDGEIND,alcc,0.4466932007590472,0.2212499030440588,0.0040464936633937,0.2137632472698239,0.2284232468958486,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,EDGEIND,k4_count,9608852.0,3632979.39,93374.982026355,3473789.775,3812412.325,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,EDGEIND,k4_density,2.82372517268864e-05,1.2957667737325698e-05,4.20714178288015e-07,1.218607841950764e-05,1.3668944591426889e-05,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,EDGEIND,C3_global,0.2465664397327217,0.1316835668618843,0.0016714115978552,0.1285438236285569,0.1350696269606681,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,EDGEIND,C3_avg_local,0.1221576646808128,0.0453481159940068,0.0009222518148752,0.0437064339514706,0.047433777844408,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,LOCLBDG,gcc,0.3208356459697971,0.2909590237758321,0.0164384389180709,0.2631745938457874,0.3295422457466663,0.1386138613861386,False,100
bio-CE-PG,Chung–Lu,CL,LOCLBDG,alcc,0.4466932007590472,0.4280430910827639,0.0326694186545904,0.3645962962569393,0.4862677996771463,0.594059405940594,False,100
bio-CE-PG,Chung–Lu,CL,LOCLBDG,k4_count,9608852.0,7610810.52,3069530.9465901097,3921812.35,16030790.349999998,0.4554455445544554,False,100
bio-CE-PG,Chung–Lu,CL,LOCLBDG,k4_density,2.82372517268864e-05,7.132726117278098e-05,2.5290158914528e-05,3.835631934886919e-05,0.000130232344931,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,LOCLBDG,C3_global,0.2465664397327217,0.1813303449673459,0.0178589865448144,0.1581472866700092,0.2313604075041707,0.0396039603960396,True,100
bio-CE-PG,Chung–Lu,CL,LOCLBDG,C3_avg_local,0.1221576646808128,0.1074180149261976,0.012395722647745,0.0888305724986178,0.1324664662406138,0.297029702970297,False,100
bio-CE-PG,Chung–Lu,CL,PARABDG,gcc,0.3208356459697971,0.3091216725551349,0.00407718347683,0.3006434202888847,0.3157872383319189,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,PARABDG,alcc,0.4466932007590472,0.57827115307511,0.0116968898074398,0.5561513722842182,0.6000446241389511,0.0198019801980198,True,100
