n_nodes,n_edges,triangles,gcc,alcc,k4,C3,model,method
120,376,43,0.05579584775086505,0.05475910643977871,0.0,0.0,ER,base
120,371,30,0.040983606557377046,0.03774470899470899,0.0,0.0,ER,base
120,338,30,0.0473186119873817,0.04621129108308594,0.0,0.0,ER,base
120,378,40,0.050505050505050504,0.05083980596801108,0.0,0.0,ER,base
120,348,30,0.04559270516717325,0.0478746300780199,0.0,0.0,ER,base
120,336,28,0.04533189422558014,0.04976751643418308,0.0,0.0,ER,base
120,314,30,0.05454545454545454,0.04949922958397535,0.0,0.0,ER,base
120,359,34,0.04784240150093809,0.049587136027814,0.0,0.0,ER,base
120,366,34,0.046831955922865015,0.04617003367003367,0.0,0.0,ER,base
120,355,32,0.046966731898238745,0.04381955144667009,0.0,0.0,ER,base
120,169,3,0.018633540372670808,0.01989247311827957,0.0,0.0,ER,dropout
120,193,4,0.01990049751243781,0.021703296703296703,0.0,0.0,ER,dropout
120,175,2,0.011928429423459244,0.00845997973657548,0.0,0.0,ER,dropout
120,174,2,0.011428571428571429,0.01475775997052593,0.0,0.0,ER,dropout
120,173,3,0.017341040462427744,0.02530088958660387,0.0,0.0,ER,dropout
120,156,3,0.022167487684729065,0.023921568627450977,0.0,0.0,ER,dropout
120,173,2,0.011363636363636364,0.009722222222222222,0.0,0.0,ER,dropout
120,191,2,0.010676156583629894,0.015841584158415845,0.0,0.0,ER,dropout
120,180,5,0.028846153846153848,0.03230240549828178,0.0,0.0,ER,dropout
120,169,0,0.0,0.0,0.0,0.0,ER,dropout
120,42,1,0.0967741935483871,0.075,0.0,0.0,ER,degree_bias
120,42,0,0.0,0.0,0.0,0.0,ER,degree_bias
120,40,1,0.08571428571428572,0.07962962962962963,0.0,0.0,ER,degree_bias
120,44,1,0.07317073170731707,0.06666666666666667,0.0,0.0,ER,degree_bias
120,41,0,0.0,0.0,0.0,0.0,ER,degree_bias
120,36,0,0.0,0.0,0.0,0.0,ER,degree_bias
120,36,0,0.0,0.0,0.0,0.0,ER,degree_bias
120,43,0,0.0,0.0,0.0,0.0,ER,degree_bias
120,49,0,0.0,0.0,0.0,0.0,ER,degree_bias
120,42,0,0.0,0.0,0.0,0.0,ER,degree_bias
120,62,2,0.043795620437956206,0.05101010101010101,0.0,0.0,ChungLu,base
120,72,0,0.0,0.0,0.0,0.0,ChungLu,base
120,53,0,0.0,0.0,0.0,0.0,ChungLu,base
120,57,3,0.05921052631578947,0.1210506424792139,0.0,0.0,ChungLu,base
120,54,2,0.02631578947368421,0.11108452950558215,0.0,0.0,ChungLu,base
120,60,6,0.06923076923076923,0.0598329845772301,0.0,0.0,ChungLu,base
120,50,1,0.04285714285714286,0.06363636363636363,0.0,0.0,ChungLu,base
120,79,2,0.037267080745341616,0.07185592185592185,0.0,0.0,ChungLu,base
120,45,0,0.0,0.0,0.0,0.0,ChungLu,base
120,46,0,0.0,0.0,0.0,0.0,ChungLu,base
120,25,0,0.0,0.0,0.0,0.0,ChungLu,dropout
120,26,2,0.15384615384615385,0.2510822510822511,0.0,0.0,ChungLu,dropout
120,30,0,0.0,0.0,0.0,0.0,ChungLu,dropout
120,20,0,0.0,0.0,0.0,0.0,ChungLu,dropout
120,39,0,0.0,0.0,0.0,0.0,ChungLu,dropout
120,35,1,0.0967741935483871,0.10769230769230768,0.0,0.0,ChungLu,dropout
120,42,1,0.0379746835443038,0.034444444444444444,0.0,0.0,ChungLu,dropout
120,33,1,0.075,0.09523809523809525,0.0,0.0,ChungLu,dropout
120,28,2,0.07692307692307693,0.09382716049382715,0.0,0.0,ChungLu,dropout
120,27,0,0.0,0.0,0.0,0.0,ChungLu,dropout
120,2,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,3,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,2,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,0,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,2,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,6,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,6,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,3,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,6,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,2,0,0.0,0.0,0.0,0.0,ChungLu,degree_bias
120,397,139,0.16087962962962962,0.174897837923048,6.0,0.02768166089965398,SBM,base
120,420,166,0.16852791878172588,0.18433177466790915,9.0,0.031578947368421054,SBM,base
120,401,121,0.14015444015444015,0.13947397140674447,8.0,0.04229074889867841,SBM,base
120,414,131,0.14151962549513863,0.14985662485662485,4.0,0.01942533387292594,SBM,base
120,403,130,0.14667168108311396,0.149054167121394,6.0,0.02916160388821385,SBM,base
120,411,160,0.17751479289940827,0.19320008695008697,8.0,0.032355915065722954,SBM,base
120,418,122,0.13328477785870357,0.13840067340067339,2.0,0.010923987255348202,SBM,base
120,380,120,0.1486374896779521,0.15929790548434616,6.0,0.03194321206743567,SBM,base
120,420,157,0.1648582429121456,0.17126426328106997,6.0,0.024136775058665773,SBM,base
120,406,122,0.1349060081091043,0.1451566951566952,8.0,0.040234702430846606,SBM,base
120,208,15,0.06598240469208211,0.05663973922902494,0.0,0.0,SBM,dropout
120,215,23,0.09299191374663072,0.10640854472630173,0.0,0.0,SBM,dropout
120,205,18,0.07468879668049792,0.07794279427942793,0.0,0.0,SBM,dropout
120,199,19,0.09178743961352658,0.0953061224489796,0.0,0.0,SBM,dropout
120,212,20,0.08391608391608392,0.07384626690182247,0.0,0.0,SBM,dropout
120,194,9,0.04599659284497445,0.05746031746031746,0.0,0.0,SBM,dropout
120,212,23,0.09224598930481283,0.09696632547099836,0.0,0.0,SBM,dropout
120,185,9,0.04981549815498155,0.06296296296296296,0.0,0.0,SBM,dropout
120,199,21,0.10047846889952153,0.11809986130374478,0.0,0.0,SBM,dropout
120,199,14,0.061764705882352944,0.055822725129655824,0.0,0.0,SBM,dropout
120,51,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,41,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,34,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,48,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,49,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,54,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,41,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,46,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,57,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,52,2,0.0967741935483871,0.11309523809523811,0.0,0.0,SBM,degree_bias
